Statistical profiling result from isolate-0x128008000-67216-v8.log, (8257 ticks, 6748 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%          /opt/homebrew/Cellar/node/21.6.2_1/bin/node

 [JavaScript]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Builtin: FulfillPromise
      1    0.0%    0.0%  Builtin: ForInNext
      1    0.0%    0.0%  Builtin: ForInEnumerate
      1    0.0%    0.0%  Builtin: FastNewObject
      1    0.0%    0.0%  Builtin: Equal_Baseline
      1    0.0%    0.0%  Builtin: Divide_Baseline
      1    0.0%    0.0%  Builtin: DivideSmi_Baseline
      1    0.0%    0.0%  Builtin: DeoptimizationEntry_Eager
      1    0.0%    0.0%  Builtin: DefineNamedOwnIC_NoFeedback
      1    0.0%    0.0%  Builtin: CreateShallowArrayLiteral
      1    0.0%    0.0%  Builtin: CreateEmptyLiteralObject
      1    0.0%    0.0%  Builtin: Construct_Baseline
      1    0.0%    0.0%  Builtin: CloneObjectICBaseline
      1    0.0%    0.0%  Builtin: CallWithArrayLike
      1    0.0%    0.0%  Builtin: CallVarargs
      1    0.0%    0.0%  Builtin: CallApiCallbackOptimizedNoProfiling
      1    0.0%    0.0%  Builtin: BitwiseAndSmi_Baseline
      1    0.0%    0.0%  Builtin: AsyncGeneratorYieldWithAwait
      1    0.0%    0.0%  Builtin: ArrayPrototypeValues
      1    0.0%    0.0%  Builtin: ArrayPrototypeUnshift
      1    0.0%    0.0%  Builtin: ArrayPrototypePush
      1    0.0%    0.0%  Builtin: ArrayPrototypePop
      1    0.0%    0.0%  Builtin: ArrayPrototypeConcat
      1    0.0%    0.0%  Builtin: ArrayIncludes
      1    0.0%    0.0%  Builtin: AdaptorWithBuiltinExitFrame

 [C++]:
   ticks  total  nonlib   name

 [Summary]:
   ticks  total  nonlib   name
   1508   18.3%   18.3%  JavaScript
      0    0.0%    0.0%  C++
    869   10.5%   10.5%  GC
      1    0.0%          Shared libraries
   6748   81.7%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
